apa_t ,apa_mm             ,amox_t ,amox_mm             ,aoh_t ,aoh_mm               ,ester_t ,ester_mm
  0.0 ,40.0               ,   0.0 , 0.0                ,  0.0 , 0.0                 ,    0.0 ,80
  5.0 ,39.547596606974565 ,   5.0 , 0.5655042412818148 ,  5.0 , 0.34217279726260585 ,    5.0 ,78.90504704875957
 15.0 ,38.49198868991519  ,  15.0 , 0.8989803173722422 , 15.0 , 0.7725525913743354  ,   15.0 ,77.70213517009887
 20.0 ,39.09519321394911  ,  20.0 , 0.9048067860509263 , 20.0 , 0.6843455945252686  ,   20.0 ,78.49443969204447
 25.0 ,37.82247267536371  ,  25.0 , 2.0358152686145132 , 25.0 , 1.7108639863130577  ,   25.0 ,76.16766467065864
 60.0 ,35.59490161479984  ,  60.0 , 4.421923538828196  , 60.0 , 2.576351650897948   ,   60.0 ,73.17522274008542
120.0 ,31.736179707435905 , 120.0 , 8.192302650879164  ,120.0 , 7.22460293248534    ,  120.0 ,64.59789761249365
180.0 ,29.437747401271505 , 180.0 ,10.467943533793196  ,180.0 , 9.721765722876029   ,  180.0 ,60.07414360551581
240.0 ,28.609807107199977 , 240.0 ,11.32274389291257   ,240.0 ,15.781445295321987   ,  240.0 ,52.78236505435507
300.0 ,27.380142437160995 , 300.0 ,12.527604221932329  ,300.0 ,18.146149906209047   ,  300.0 ,49.30762027124606
360.0 ,27.454955095535333 , 360.0 ,12.486553765385189  ,360.0 ,23.64820132899979    ,  360.0 ,43.98757392448576
420.0 ,29.84064764591695  , 420.0 ,10.06824966966117   ,420.0 ,26.73949076986736    ,  419.0 ,43.13036204013929
480.0 ,28.03608234720049  , 480.0 ,11.831537562682833  ,480.0 ,30.4234760139135     ,  480.0 ,37.72913795665209
540.0 ,29.112039861069608 , 540.0 ,10.837702345249589  ,540.0 ,33.77695085996504    ,  540.0 ,35.06535050652113
600.0 ,32.54600166360284  , 600.0 , 7.406970693761231  ,600.0 ,38.53632672208249    ,  600.0 ,33.80206296739246
