amox_t ,amox_mm             ,apa_t ,apa_mm             ,aoh_t ,aoh_mm              ,ester_t ,ester_mm
   0.0 ,0.0                 ,  0.0 ,5.0                ,  0.0 , 0.0                ,    0.0 ,80.0
   5.0 ,0.46049054681684076 ,  5.0 ,4.565954598930719  ,  5.0 , 1.6652211621855884 ,    5.0 ,78.01681351116923
  10.0 ,0.6715839924374087  , 10.0 ,4.327996547455745  , 10.0 , 2.9559266526449335 ,   10.0 ,76.09539973027154
  15.0 ,0.965748170130647   , 15.0 ,4.047872811069196  , 15.0 , 4.84840098909126   ,   15.0 ,74.08173393616426
  20.0 ,1.2189053062775752  , 20.0 ,3.799471340417009  , 20.0 , 6.268381778109557  ,   20.0 ,72.38157766667939
  30.0 ,1.6249654770839914  , 30.0 ,3.4401356378117187 , 30.0 , 9.293071956766482  ,   30.0 ,69.04019700534863
  60.0 ,2.2614025643667093  , 60.0 ,2.9065851963067746 , 60.0 ,17.882012418860484  ,   60.0 ,59.83119833542716
 126.0 ,2.439753015167003   ,126.0 ,2.715193943106482  ,126.0 ,30.844251283408     ,  126.0 ,46.69285055424615
 180.0 ,1.9045748800628743  ,180.0 ,3.0868268352666055 ,180.0 ,45.60180001067263   ,  180.0 ,32.41399096453591
 240.0 ,1.474539502050165   ,240.0 ,3.477794204156145  ,240.0 ,56.2706959114976    ,  240.0 ,22.32109288503932
