amox_t ,amox_mm             ,apa_t ,apa_mm             ,aoh_t ,aoh_mm             ,ester_t ,ester_mm
   0.0 ,0.0                 ,  0.0 ,21.75              ,  0.0 , 3.372620126926563 ,    0.0 ,40.5
   5.0 ,0.6600408333455672  ,  5.0 ,21.150682873326623 ,  5.0 , 4.679665641887368 ,    5.0 ,38.87579329102451
  15.0 ,1.217120976228605   , 15.0 ,20.649552296556585 , 15.0 , 4.315503173164103 ,   15.0 ,38.64875131551318
  30.0 ,2.5123307638231918  , 30.0 ,19.51461153597668  , 30.0 , 6.820018826938792 ,   30.0 ,35.071438373576214
  60.0 ,3.57407502759877    , 60.0 ,18.490997248092913 , 60.0 ,11.214091166347089 ,   60.0 ,29.753034713171388
 120.0 ,2.8545297684369437  ,120.0 ,19.117898900072426 ,120.0 ,15.500393580921369 ,  120.0 ,26.098248194966857
 180.0 ,4.159571232957921   ,180.0 ,17.979753058545576 ,180.0 ,17.990441924195622 ,  180.0 ,22.340337713006008
 240.0 ,2.949929781830262   ,240.0 ,19.063385192644084 ,240.0 ,24.079078585264    ,  240.0 ,17.495255247102136
 300.0 ,2.419259671586664   ,300.0 ,19.612002400659385 ,300.0 ,29.074404827314297 ,  300.0 ,13.036043300424893
 360.0 ,1.5559528846310755  ,360.0 ,20.364188971546596 ,360.0 ,33.07151404025066  ,  360.0 , 9.751507831455413
 420.0 ,0.833862581571843   ,420.0 ,21.050242905312103 ,420.0 ,34.08436103227427  ,  420.0 , 9.41685095239913
 480.0 ,0.061720387519415   ,480.0 ,21.777252669607414 ,480.0 ,34.611399881667154 ,  480.0 , 9.751454844200595
 540.0 ,0.05902027814059707 ,540.0 ,21.78993759504943  ,540.0 ,34.62907815939225  ,  540.0 , 9.663556817810331
