amox_t ,amox_mm            ,apa_t ,apa_mm             ,aoh_t ,aoh_mm              ,ester_t ,ester_mm
   0.0 ,0.0                ,  0.0 ,43.0               ,  0.0 , 2.55               ,    0.0 ,30.40
   5.0 ,0.3607922679656479 ,  5.0 ,42.75842540721197  ,  5.0 , 2.8801900827961475 ,    5.0 ,29.679609888111273
  15.0 ,1.2586819289238012 , 15.0 ,41.79987533677897  , 15.0 , 3.5584843492586486 ,   15.0 ,28.146622734761145
  30.0 ,2.345199410425275  , 30.0 ,40.69406951716152  , 30.0 , 4.485766384383183  ,   30.0 ,26.07137382496984
  60.0 ,4.018420882745447  , 60.0 ,39.03000794551784  , 60.0 , 7.341153455105072  ,   60.0 ,21.616290643373233
 120.0 ,4.450176231098368  ,120.0 ,38.58322499084974  ,120.0 ,10.384236869076418  ,  120.0 ,18.13634181481455
 180.0 ,5.190007501243777  ,180.0 ,37.83733553343592  ,180.0 ,15.338668598521032  ,  180.0 ,12.516853772206503
 240.0 ,4.6544514038936455 ,240.0 ,38.25243218496079  ,240.0 ,19.254881749050014  ,  240.0 , 9.084749197357212
 300.0 ,4.526297934723974  ,300.0 ,38.52792951251658  ,300.0 ,24.003023906076805  ,  300.0 , 4.555018675932885
 360.0 ,3.2395498098351467 ,360.0 ,39.71106991323311  ,360.0 ,24.16039927694817   ,  360.0 , 5.508173734142801
 420.0 ,3.1428369347551772 ,420.0 ,40.033934164979485 ,420.0 ,29.033135190606068  ,  420.0 , 0.7708967204113293
 480.0 ,2.4113832535905946 ,480.0 ,40.63492326511537  ,480.0 ,29.478678310981813  ,  480.0 , 1.0302902105294294
 540.0 ,1.9328289484972636 ,540.0 ,41.12948833607029  ,540.0 ,31.150116110715572  ,  540.0 , 0.01335020315030988
