amox_t ,amox_mm            ,apa_mm             ,apa_t ,ester_t            ,ester_mm           ,aoh_tt ,aoh_mm
   0.0 ,0.0                ,30.0               ,  0.0 ,  0.0              ,30.0               ,   0.0 , 0.0
  30.0 ,1.089984560139257  ,29.018032302880346 , 30.0 , 30.26261211334071 ,27.113396481663003 ,  30.0 , 2.0637813929795357
  60.0 ,1.8477593224424709 ,28.166685462804633 , 60.0 , 60.02489734580499 ,26.25315622879802  ,  60.0 , 2.4845112780878935
  89.0 ,2.556583416509959  ,27.500346198634094 , 90.0 , 89.76241151630956 ,25.329938487749843 ,  90.0 , 2.90179554999159
 120.0 ,3.115446061024681  ,26.893090642182187 ,120.0 ,119.69488851564996 ,24.08872730009074  , 120.0 , 3.945534081542675
 187.5 ,4.387875363324927  ,25.675896631981864 ,187.5 ,187.55414419866582 ,20.736206265192926 , 187.5 , 5.829868191365875
 240.0 ,4.896507444973945  ,25.166740365442923 ,240.0 ,239.64817320703648 ,17.785522238630215 , 240.0 , 7.936515843737197
 300.0 ,5.32365015973383   ,24.74901227390648  ,300.0 ,299.7365038997423  ,17.05601622108008  , 300.0 , 8.676315890003913
 360.0 ,5.71400591518478   ,24.39255968588435  ,360.0 ,359.60145789842306 ,13.938294840854375 , 360.0 ,11.015483345809656
 420.0 ,5.759690982588218  ,24.28501398623408  ,420.0 ,420.23106058030345 ,12.002554918923877 , 420.0 ,13.02178191566967
 490.0 ,5.371367909658996  ,24.728262580032784 ,490.0 ,490.7235772910561  ,10.612248504996067 , 490.0 ,14.712433182312672
