amox_t,amox_mm,apa_t,apa_mm,aoh_t,aoh_mm,ester_t,ester_mm
0.0,0.0,0.0,12.0,0.0,1.4,0.0,38.75
10.0,0.3342736857163491,10.0,12.085101742472471,10.0,1.936344156041656,10.0,37.86512695347709
20.0,0.7986982842172345,20.0,11.648764471481455,20.0,3.476279561010557,20.0,35.94810992646882
30.0,1.0615964109456328,30.0,11.346684822333827,30.0,4.464427021510431,30.0,34.63473134766696
60.0,1.849951331296177,60.0,10.592616106902561,60.0,7.1806686459333235,60.0,31.17083524327829
120.0,2.381551113760919,120.0,10.071237414821624,120.0,8.622042538489097,120.0,29.172176081684285
180.0,2.1821487837816917,180.0,10.255841644856286,180.0,14.467578508194435,180.0,23.615923043063134
240.0,1.9246488405542017,240.0,10.50757468581264,240.0,18.97854110856656,240.0,19.349483860583206
300.0,1.5795412977211996,300.0,10.861206294728863,300.0,22.648739057119442,300.0,16.046133360873668
360.0,1.12872081703871,360.0,11.296338214142555,360.0,24.58398536956797,360.0,14.534645224424011
410.0,0.9147087203428672,410.0,11.493969724835537,410.0,28.063629949329197,410.0,11.203751009835997
