amox_t ,amox_mm              ,apa_t ,apa_mm             ,aoh_t ,aoh_mm               ,ester_t ,ester_mm
   0.0 ,0.0 ,  0.0 ,5.0  ,  0.0 , 0.0 ,    0.0 ,30
  10.0 ,0.29006350861672114  , 10.0 ,4.732101368032461  , 10.0 , 1.8362739868519355  ,   10.0 ,27.995311143776817
  20.0 ,0.4727578872383491   , 20.0 ,4.550990365338876  , 20.0 , 2.9121622847711706  ,   20.0 ,26.732391784484392
  30.0 ,0.5724788306957604   , 30.0 ,4.459448391122008  , 30.0 , 4.0315593839437724  ,   30.0 ,25.501146198365
  45.0 ,0.7007097756819523   , 45.0 ,4.3284869185669    , 45.0 , 5.941950087901091   ,   45.0 ,23.44382884955732
  90.0 ,0.9188838006092972   , 90.0 ,4.10496848726813   , 90.0 ,10.591198280491767   ,   90.0 ,18.624749240880995
 120.0 ,0.7497780393961682   ,120.0 ,4.278492258653928  ,120.0 ,12.92558739669309    ,  120.0 ,16.41642131856363
 180.0 ,0.5563844843138801   ,180.0 ,4.468147581857324  ,180.0 ,16.60936761266982    ,  180.0 ,12.980385390085061
 240.0 ,0.4242297274495659   ,240.0 ,4.600750691227549  ,240.0 ,19.796379287965884   ,  240.0 , 9.858733279756834
 285.0 ,0.33685033901105665  ,285.0 ,4.6994939801827975 ,285.0 ,21.53468019556857    ,  285.0 , 8.201022857812575
