apa_t,apa_mm,amox_t,amox_mm,ester_t,ester_mm,aoh_t,aoh_mm
0,60.0,0,0.0,0,80.00,0,0.0
60,54.652132701957115,60,5.425327518642703,60,71.91196911898642,60,2.6922492894216106
120,50.5827058997245,120,9.82701288189439,120,63.93147932914077,120,5.119253583346051 
180,45.50726688899308,180,14.752861251358766,180,56.60514171948036,180,8.127497721292798 
240,42.87378970116702,240,17.382899427485462,240,50.23570936605101,240,11.524190217569256
300,41.854215503286255,300,18.421125726467764,300,44.64566603046338,300,15.028711673885951
360,40.4260995868975,360,19.826267380673507,360,40.10649487353628,360,18.69719451562031 
420,40.09858510177185,420,20.365240069330888,420,36.43676656289268,420,22.560769274369804
480,41.024358600110304,480,19.85711031694784,480,33.33572105980806,480,26.137318479474416
540,42.27842273876919,540,18.49351021808684,540,31.13007827896515,540,29.526505674969172
600,43.55578148473766,600,17.414273488018274,600,29.00350907718599,600,33.05580325622337 
