aoh_t,aoh_mm,apa_t,apa_mm,amox_t,amox_mm,ester_t,ester_mm
0,2.25,0,64.88,0,0.00,0,47.75
30,4.60,30,52.50,30,5.72,30,39.68
60,5.44,60,50.95,60,6.99,60,37.57
90,6.05,90,47.25,90,7.83,90,36.12
120,6.47,120,43.55,120,8.45,120,35.08
150,7.65,150,47.04,150,9.87,150,32.48
180,8.10,180,44.65,180,10.30,180,31.61
220,9.40,220,46.83,220,11.70,220,28.89
253,9.89,253,44.40,253,11.91,253,28.20
292,12.07,292,46.19,292,12.96,292,24.97
325,11.92,325,47.15,325,13.87,325,24.22
360,12.02,360,45.23,360,13.71,360,24.27
390,12.21,390,43.29,390,13.58,390,24.21
417,12.85,417,45.57,417,14.32,417,22.83
432,12.38,432,43.36,432,13.78,432,23.84
